"designator","quantity","item","manufacturer","model_number","lcsc","required_spec","assembly","selection_status","primary_source","notes"
"U1","1","MCU module","Seeed Studio","XIAO ESP32-C6","","5 V input; 3.3 V GPIO; official 24-pad SMD pattern","SMT/manual","selected","https://wiki.seeedstudio.com/xiao_esp32c6_getting_started/","Use underside GPIO pads; reflow or hot air"
"U4","1","5 V buck converter","Diodes Incorporated","AP63205WU-7","C2071056","3.8-32 V input; fixed 5 V; 2 A","SMT","selected","https://www.diodes.com/datasheet/download/AP63200-AP63201-AP63203-AP63205.pdf","Manufacturer reference values used"
"L1","1","buck inductor","Bourns","SRP5030TA-4R7M","C2047088","4.7 uH; Irms 4.6 A; Isat 6 A","SMT","selected","https://www.bourns.com/docs/Product-Datasheets/SRP5030TA.pdf","Shielded 5 x 5 mm"
"U13","1","reverse-polarity controller","Texas Instruments","LM74610QDGKRQ1","C2649431","-45 V reverse protection; external N-MOSFET","SMT","selected","https://www.ti.com/lit/ds/symlink/lm74610-q1.pdf","DGK VSSOP-8 manufacturer land pattern"
"Q1,Q2,Q3,Q4,Q5,Q6","6","60 V N-MOSFET","Texas Instruments","CSD18540Q5B","C86513","RDS(on) max 3.3 mOhm at VGS=4.5 V; Qg 41 nC","SMT","selected","https://www.ti.com/lit/ds/symlink/csd18540q5b.pdf","One reverse-polarity and five output MOSFETs"
"D1","1","input TVS","Littelfuse","SMBJ18A","C151256","VRWM 18 V; clamp max 29.2 V; 600 W","SMT","selected with condition","https://origin-savvis.littelfuse.com/~/media/electronics/datasheets/tvs_diodes/littelfuse_tvs_diode_smbj_datasheet.pdf.pdf","Use only when charger LOAD steady voltage is <=16 V"
"C1","1","input bulk capacitor","Nichicon","UHE1V471MPD","C116237","470 uF; 35 V; 105 C","THT/manual","selected","https://www.nichicon.co.jp/products/pdfs/uhe.pdf","D10 x 20 mm"
"C11","1","field bulk capacitor","Nichicon","UHE1E470MDD","C134230","47 uF; 25 V; 105 C","THT/manual","selected","https://www.nichicon.co.jp/products/pdfs/uhe.pdf","D5 x 11 mm"
"C6,C35,C36,C37","4","2.2 uF MLCC","Samsung Electro-Mechanics","CL21B225KOFNNNE","C28234","2.2 uF; 16 V; X7R; 0805","SMT","selected","https://product.samsungsem.com/mlcc/CL21B225KOFNNN.do","One charge-pump and three gate-driver local bulk capacitors"
"C8","1","10 uF input MLCC","Samsung Electro-Mechanics","CL31B106KBHNNNE","C89632","10 uF; 50 V; X7R; 1206","SMT","selected","https://weblib.samsungsem.com/mlcc/mlcc-ec-data-sheet.do?partNumber=CL31B106KBHNNN","AP63205 input"
"C2,C9,C10","3","22 uF MLCC","Samsung Electro-Mechanics","CL31B226KPHNNNE","C87996","22 uF; 10 V; X7R; 1206","SMT","selected","https://weblib.samsungsem.com/mlcc/mlcc-ec-data-sheet.do?partNumber=CL31B226KPHNNN","Two buck output and one 5 V logic bulk"
"U3","1","RS485 transceiver","Texas Instruments","THVD1410DR","C2671345","3-5.5 V; 500 kbps; +/-18 V bus fault; 256 nodes","SMT","selected","https://www.ti.com/product/THVD1410","Non-isolated"
"D2","1","RS485 TVS","Bourns","CDSOT23-SM712","C404012","RS485 A/B protection; 400 W; SOT-23","SMT","selected","https://bourns.com/docs/product-datasheets/cdsot23-sm712.pdf?sfvrsn=4648d8e1_10","Pin 1=A; pin 2=B; pin 3=GND"
"F2","1","5 V PPTC","Bourns","MF-NSMF075-2","C89653","Ihold 0.75 A; Itrip 1.5 A; Vmax 6 V","SMT","selected","https://www.bourns.com/docs/product-datasheets/mf-nsmf.pdf","5 V rail only"
"F3","1","12 V field PPTC","Bourns","MF-MSMF075/24-2","C208467","Ihold 0.75 A; Itrip 1.5 A; Vmax 24 V","SMT","selected","https://www.bourns.com/docs/product-datasheets/mf-msmf.pdf","Shared field sensor power"
"U12","1","flow comparator","Texas Instruments","TLV7031DBVR","C2869832","1.6-6.5 V; push-pull; rail-to-rail input; SOT-23-5","SMT","selected","https://www.ti.com/lit/ds/symlink/tlv7031.pdf","NPN/open-collector or dry-contact input"
