"item","purchase_url","required_spec","purpose","subsystem","base_quantity","add_one_mosfet_quantity","scaling_rule","id","connected_to","pin_assignment","panel_cutout","unit","selection_status","manufacturer","model_number","supplier","supplier_part_number","unit_price","currency","tax_status","order_quantity","line_total","price_checked_on","notes"
"屋外ルーフ付きポリカーボネート筐体","https://www.takachi-el.co.jp/products/BCPR","IP65・外形300×400×120 mm・内寸274.5×374.5×103.6 mm・ライトグレー","制御モジュール、MOSFET SW、端子台、充電コントローラ、内部配線を収容する本体","本体（筐体）","1","0","制御本体1台につき1台","E-01","全構成部品","-","コネクタ穴はリブ、壁テーパー、蓋パッキンを避けて現物合わせ","台","✅ 選定済み","タカチ電機工業","BCPR304012S","タカチ販売店","BCPR304012S","","","","","","","プラスチックのためホールソーとヤスリで加工可能"
"内部取付ベース","https://www.takachi-el.co.jp/products/BMP_BCAP","SECC亜鉛めっき鋼板・265×365×1.6 mm・BCPR304012S適合","制御モジュール、MOSFET SW、端子台、充電コントローラを筐体内へ固定する","本体（筐体）","1","0","制御本体1台につき1枚","E-02","BCPR304012S内部","-","筐体付属ボスへ固定","枚","✅ 選定済み","タカチ電機工業","BMP3040Z","タカチ販売店","BMP3040Z","","","","","","","各完成品モジュールの実寸を測ってから取付穴を加工"
"筐体外部取付足","https://www.takachi-el.co.jp/products/BFL","BCPR 3040サイズ適合・ライトグレー・4個1組","制御筐体を壁面などへ固定する","本体（筐体）","1","0","制御本体1台につき1組","E-03","BCPR304012S","-","筐体既定取付部","組","✅ 選定済み","タカチ電機工業","BFL-2S","タカチ販売店","BFL-2S","","","","","","","設置条件によりポール金具は別途"
"制御モジュール固定セット","","M3スペーサ、ねじ、平座金、緩み止め、必要に応じDINレールアダプタ","XIAO端子台、DC-DC、MOSFET SW、端子台を内部取付ベースへ固定する","本体（筐体）","1","1","本体用1式。MOSFET SW増設時は固定具1組を追加","E-04","BMP3040Z→各完成品モジュール","-","購入したモジュールの穴位置を現物確認","式","⚠ モジュール選定後に確定","","","機構部品販売店","","","","","","","","両面テープだけに頼らず、ねじまたはDINレールで固定"
"制御筐体POWER IN 3極パネルコネクタ","https://amphenolltw.com/product-info/X-Lok/X-Lok.MiddleSize/CC-03RMMS-QC800P.html","X-Lok Middle C・3極・20 A・IP68・パネル側オス接点・12～14 AWG","外部12 V電源を制御筐体へ入力する","本体（電源入力）","1","0","制御本体1台につき1個","PWR-01","外部12 V電源→12 V分岐","1=+12V IN、2=GND、3=NC","Dカット Ø20.8/19.4 mm・最大板厚4.5 mm・現物確認","個","✅ 選定済み","Amphenol LTW","CC-03RMMS-QC800P","電子部品販売店","CC-03RMMS-QC800P","","","","","","","外した電源ケーブルに通電ピンを露出させない接点構成。12 V保護は供給元側を前提とする"
"POWER INケーブル・制御筐体側プラグ","https://amphenolltw.com/product-info/X-Lok/X-Lok.MiddleSize/CC-03BFFB-QL8LPP.html","PWR-01適合・3極・20 A・IP68・メス接点・ねじ接続・ケーブル外径10～12 mm","外部電源ケーブルを制御筐体POWER INへ接続する","本体（電源入力）","1","0","制御本体1台につき1個","PWR-02","外部12 V電源ケーブル→PWR-01","1=+12V IN、2=GND、3=未接続","-","個","✅ 選定済み","Amphenol LTW","CC-03BFFB-QL8LPP","電子部品販売店","CC-03BFFB-QL8LPP","","","","","","","2PNCT 2心×2.0 mm²の外径約11 mmに合わせる"
"MOSFET OUT 3極パネルコネクタ","https://amphenolltw.com/product-info/X-Lok/X-Lok.MiddleSize/CC-03RMFS-QC800P.html","X-Lok Middle C・3極・20 A・IP68・パネル側メス接点・12～14 AWG","MOSFET SWの+12VとSW_RETURNを筐体外へ出す","MOSFET SW（1系統ごと）","5","1","MOSFET SW 1系統につき1個","OUT-01","+12 V分岐とMOSFET Drain→外部機器","1=+12V、2=SW_RETURN、3=NC","Dカット Ø20.8/19.4 mm・最大板厚4.5 mm・現物確認","個","✅ 選定済み","Amphenol LTW","CC-03RMFS-QC800P","電子部品販売店","CC-03RMFS-QC800P","","","","","","","SW_RETURNは低側MOSFETでスイッチされる戻り線。常時GNDへ接続しない"
"MOSFET OUTケーブル・制御筐体側プラグ","https://amphenolltw.com/product-info/X-Lok/X-Lok.MiddleSize/CC-03BFMB-QL8LPP.html","OUT-01適合・3極・20 A・IP68・オス接点・ねじ接続・ケーブル外径10～12 mm","MOSFET出力ケーブルを制御筐体へ接続する","MOSFET SW（1系統ごと）","5","1","MOSFET SW 1系統につき1個","OUT-02","OUT-01→外部2心ケーブル","1=+12V、2=SW_RETURN、3=未接続","-","個","✅ 選定済み","Amphenol LTW","CC-03BFMB-QL8LPP","電子部品販売店","CC-03BFMB-QL8LPP","","","","","","","各出力ケーブルの制御筐体側"
"外部機器POWER IN 3極パネルコネクタ","https://amphenolltw.com/product-info/X-Lok/X-Lok.MiddleSize/CC-03RMMS-QC800P.html","X-Lok Middle C・3極・20 A・IP68・パネル側オス接点・12～14 AWG","ポンプ等の機器本体に着脱式電源入口を設ける","MOSFET SW（機器側・条件付き）","5","1","加工可能な外部機器1台につき1個。直結する場合は0個","DEV-PWR-01","MOSFET出力ケーブル→外部機器内部","1=+12V、2=電源戻り、3=NC","Dカット Ø20.8/19.4 mm・最大板厚4.5 mm・現物確認","個","⚠ 機器を加工する場合のみ","Amphenol LTW","CC-03RMMS-QC800P","電子部品販売店","CC-03RMMS-QC800P","","","","","","","市販機器の成形ケーブルを残す場合は発注しない"
"MOSFET OUTケーブル・外部機器側プラグ","https://amphenolltw.com/product-info/X-Lok/X-Lok.MiddleSize/CC-03BFFB-QL8LPP.html","DEV-PWR-01適合・3極・20 A・IP68・メス接点・ねじ接続・ケーブル外径10～12 mm","MOSFET出力ケーブルを外部機器のPOWER INへ接続する","MOSFET SW（機器側・条件付き）","5","1","DEV-PWR-01を使う外部機器1台につき1個。直結する場合は0個","OUT-03","外部2心ケーブル→DEV-PWR-01","1=+12V、2=電源戻り、3=未接続","-","個","⚠ DEV-PWR-01採用時のみ","Amphenol LTW","CC-03BFFB-QL8LPP","電子部品販売店","CC-03BFFB-QL8LPP","","","","","","","外部機器をパネルコネクタ化しない場合は発注しない"
