"item","purchase_url","required_spec","connected_pump","id","category","required_quantity","unit","selection_status","manufacturer","model_number","supplier","unit_price","currency","tax_status","order_quantity","line_total","price_checked_on","notes"
"混合・排出タンク","https://www.amazon.co.jp/dp/B0F5GMNWF6/?coliid=I9KQ05MTB5J03&colid=22H48X66XWFLU&ref_=list_c_wl_lv_ov_lig_dp_it&th=1&psc=1","10 L・蓋付き・PE","混合・排出","H-01","液系統","1","個","✅ 採用","キャプテンスタッグ(CAPTAIN STAG)","UE-2047","Amazon.co.jp","2518","JPY","税込（表示価格）","1","2518","2026-07-31",""
"A/B液原液容器（同一品）","https://www.amazon.co.jp/dp/B0CYRJH57H/?coliid=I34A9WAWKIYYUS&colid=22H48X66XWFLU&psc=1&ref_=cm_sw_r_cp_ud_lstpd_MVXF2DAAMH5GGXJ17SQJ","同じメーカー型番を2個発注。蓋付き、遮光。組付け時にA用・B用の表示を付ける","A容器→H-20（A用）／B容器→H-20（B用）","H-02","液系統","2","個","✅ 適合候補・接液確認待ち","キャプテンスタッグ(CAPTAIN STAG)","UE-2045","Amazon.co.jp","1028","JPY","税込（表示価格）","2","2056","2026-07-31","2 L、オリーブ色。本体・キャップベルトPE、キャップPP。同一品を2個購入し、3×5 mmチューブを通す蓋加工とA/B原液への接液適合を確認"
"原水入口電磁弁","https://www.amazon.co.jp/dp/B072FBHG94/?ref_=cm_wl_huc_item","Heschen 2W-200-20J、12 V DC・常閉形、PT3/4（Rc3/4）めねじ","原水入口制御出力（供給圧がある場合）","H-10","液系統","1","個","✅ Rev A基準構成に採用","Heschen","2W-200-20J","Amazon.co.jp","4193","JPY","税込（表示価格）","1","4193","2026-07-31","入口・出口にH-12を各1個接続"
"原水移送ポンプ","https://www.amazon.co.jp/dp/B08R5SZD6M/?ref_=cm_wl_huc_item","貯水槽等から原水を移送する12 Vポンプ。必要吸上げ高さ、揚程、流量を満たす","原水入口制御出力（原水移送が必要な場合）","H-11","液系統","0","個","✅ 代替候補・Rev A発注なし","Hailege","商品ページ記載なし（12 V・4.2 W・240 L/h）","Amazon.co.jp","1940","JPY","税込（表示価格）","0","0","2026-07-31","Rev A基準構成では不使用。水没または押込み給水条件でH-10の代わりに使用可能"
"電磁弁用ホースニップル（同一品）","https://www.amazon.co.jp/dp/B00B4TKJVQ/","アソー HN-1616、PT3/4（R3/4）おねじ・竹の子外径16 mm","H-10 原水入口電磁弁の入口・出口","H-12","液系統","2","個","✅ H-10入出力に適合","アソー(ASOH)","HN-1616","Amazon.co.jp","569","JPY","税込（表示価格）","2","1138","2026-07-31","H-10のRc3/4めねじへ入口・出口それぞれ1個接続"
"原水入口ホース","https://www.amazon.co.jp/dp/B00CTGTMX4/?ref_=cm_wl_huc_item","タカギPH08015CB005TM、内径15 mm・外径20 mm・長さ5 m。水源からH-10までと、H-10からH-14までを接続","H-10 原水入口電磁弁の入口・出口","H-13","液系統","1","式","✅ 接続構成確定","タカギ(Takagi)","PH08015CB005TM","Amazon.co.jp","1020","JPY","税込（表示価格）","1","1020","2026-07-31","長さ5 mから入口側・出口側を設置環境に合わせて切断。H-10側はH-12、フロート弁側はH-14で接続"
"フロート弁接続用ホースコネクタ（メス）","https://www.amazon.co.jp/dp/B000EVL7YS/","タカギ G079FJ、内径12～15 mm・外径21 mmまでのホース用ワンタッチコネクタ","H-13原水入口ホースの下流・H-15付属オスニップルの上流","H-14","液系統","1","個","✅ H-13に適合・嵌合確認","タカギ(Takagi)","G079FJ","Amazon.co.jp","","JPY","カート表示","1","","2026-07-31","H-13の内径15 mm・外径20 mmに適合。H-15付属オスニップルとの嵌合、抜け止め、加圧漏れを組立時に確認"
"原水入口の機械式フロート弁","https://www.amazon.co.jp/dp/B0DJ6TVZ1X/?ref_=cm_wl_huc_item","NABESHI NA-4231、付属ワンタッチ接続用オスニップルでH-14へ接続し、タンク満水時に原水を止める","H-10電磁弁・H-13原水入口ホース・H-14ホースコネクタの下流","H-15","液系統","1","個","✅ 付属オスニップルで採用","NABESHI","NA-4231","Amazon.co.jp","1980","JPY","税込（表示価格）","1","1980","2026-07-31","本体ねじはNPT1/2。付属オスニップルを介してH-14とワンタッチ接続する"
"A/B液用蠕動ポンプ（同一品）","https://www.amazon.co.jp/dp/B0D6G4HGP3/?ref_=cm_wl_huc_item","DC12 V、内径3 mm・外径5 mmの透明シリコーンチューブ仕様。同じ商品を2個発注し、A用・B用へ割り当てる。吐出量を校正可能","A系統1個／B系統1個","H-20","液系統","2","個","✅ 寸法適合候補・校正必須","ViaGasaFamido","商品ページ記載なし","Amazon.co.jp","1680","JPY","税込（表示価格）","2","3360","2026-07-31","DC12 V選択、透明シリコーン3×5 mm、商品表示最大約90 mL/min。A/Bで同一品を2個購入し、実液で個体別に吐出量を校正する"
"A/B液用連続チューブ（同一品）","https://www.amazon.co.jp/dp/B0FJXBZWBJ/?ref_=cm_wl_huc_item","内径3 mm・外径5 mm。A/Bとも同じ型番と材質を使用し、各容器H-02からポンプH-20、逆止弁H-22を経て混合タンクH-01まで同じチューブを使う","H-20 A/B液用蠕動ポンプ","H-21","液系統","2","系統分","✅ 寸法適合候補・現場合わせで切断","サムコス","商品ページ記載なし（3×5 mm・2 m）","Amazon.co.jp","495","JPY","税込（表示価格）","1","495","2026-07-31","内径3 mm・外径5 mm・長さ約2 m、シリコーン。1巻からA/B用を設置環境に合わせて切り出す。原液への耐薬品性は実液で確認"
