Comment,Designator,Footprint,LCSC Part #
22u 10V X7R,"C2,C9,C10",C_1206_3216Metric,C87996
100n 50V X7R,"C3,C5,C7,C12,C20,C21,C22,C23,C24,C30,C31,C32,C33,C34",C_0603_1608Metric,C1591
2.2u 16V X7R,C6,C_0805_2012Metric,C28234
10u 50V X7R,C8,C_1206_3216Metric,C89632
100p 50V C0G,C13,C_0603_1608Metric,C14858
2.2u 16V X7R,"C35,C36,C37",C_0805_2012Metric,C28234
SMBJ18A,D1,D_SMB,C151256
CDSOT23-SM712,D2,SOT-23,C404012
"BAT54S,215 ADC CLAMP",D3,SOT-23,C47546
STPS30SM60SG-TR 60V/30A,"D10,D11,D12,D13,D14",TO-263-2_TabPin1,C2935135
TPD1E10B06DPYR,"D30,D31,D32,D33",X1SON-2_L1.0-W0.6-P0.65-BI-1,C48260
TPD1E10B06DPYR,D34,X1SON-2_L1.0-W0.6-P0.65-BI-1,C48260
0.75A HOLD PTC,F2,Fuse_1206_3216Metric,C89653
0.75A HOLD / 24V PTC,F3,Fuse_1812_4532Metric,C208467
4.7uH 4.6A,L1,L_Bourns_SRP5030T,C2047088
CSD18540Q5B 60V,Q1,VSON-CLIP-8_L5.0-W6.0-P1.27-BL,C86513
CSD18540Q5B 60V,"Q2,Q3,Q4,Q5,Q6",VSON-CLIP-8_L5.0-W6.0-P1.27-BL,C86513
150k 1%,R1,R_0603_1608Metric,C22807
27k 1%,R2,R_0603_1608Metric,C22967
1k 1%,"R3,R20,R22,R24,R26",R_0603_1608Metric,C21190
47k 1%,"R8,R9,R18,R19,R40,R41,R42,R43,R44,R55,R56,R57,R58,R59",R_0603_1608Metric,C25819
10R 1%,"R10,R11",R_0603_1608Metric,C22859
120R 1%,R12,R_0805_2012Metric,C17437
10k 1%,"R16,R21,R23,R25,R27",R_0603_1608Metric,C25804
2.2k 1%,R17,R_0603_1608Metric,C4190
22R 1%,"R50,R51,R52,R53,R54",R_0603_1608Metric,C23345
THVD1410DR,U3,SOIC-8_3.9x4.9mm_P1.27mm,C2671345
AP63205WU-7 5V/2A,U4,TSOT-23-6,C2071056
SN74AHCT08DR,"U5,U6",SOIC-14_3.9x8.7mm_P1.27mm,C7480
TC4427AEOA,"U7,U8,U9",SOIC-8_3.9x4.9mm_P1.27mm,C18690
SN74HC14DR,U11,SOIC-14_3.9x8.7mm_P1.27mm,C6820
TLV7031DBVR,U12,SOT-23-5,C2869832
LM74610QDGKRQ1,U13,VSSOP-8_L3.0-W3.0-P0.65-LS5.0-BL,C2649431
