Designator,Mid X,Mid Y,Layer,Rotation
C2,68.0000mm,-60.0000mm,Top,0.00
C3,26.0000mm,-61.0000mm,Top,0.00
C5,96.0000mm,-35.0000mm,Top,0.00
C6,12.0000mm,-46.0000mm,Top,0.00
C7,51.0000mm,-45.5000mm,Top,0.00
C8,38.0000mm,-60.0000mm,Top,0.00
C9,50.0000mm,-60.0000mm,Top,0.00
C10,61.0000mm,-60.0000mm,Top,0.00
C12,107.0000mm,-31.0000mm,Top,0.00
C13,28.0000mm,-45.0000mm,Top,0.00
C20,122.8000mm,-28.0000mm,Top,0.00
C21,136.0000mm,-28.0000mm,Top,0.00
C22,149.2000mm,-28.0000mm,Top,0.00
C23,162.4000mm,-28.0000mm,Top,0.00
C24,158.0000mm,-48.0000mm,Top,0.00
C30,94.0000mm,-53.5000mm,Top,0.00
C31,106.0000mm,-53.5000mm,Top,0.00
C32,116.5000mm,-53.5000mm,Top,0.00
C33,127.5000mm,-53.5000mm,Top,0.00
C34,138.5000mm,-53.5000mm,Top,0.00
C35,121.5000mm,-53.5000mm,Top,0.00
C36,132.5000mm,-53.5000mm,Top,0.00
C37,143.5000mm,-53.5000mm,Top,0.00
D1,52.0000mm,-36.0000mm,Top,0.00
D2,120.0000mm,-39.0000mm,Top,0.00
D3,33.0000mm,-57.0000mm,Top,0.00
D10,27.0000mm,-78.5000mm,Top,0.00
D11,63.0000mm,-78.5000mm,Top,0.00
D12,99.0000mm,-78.5000mm,Top,0.00
D13,135.0000mm,-78.5000mm,Top,0.00
D14,171.0000mm,-78.5000mm,Top,0.00
D30,127.8000mm,-32.0000mm,Top,0.00
D31,141.0000mm,-32.0000mm,Top,0.00
D32,154.2000mm,-32.0000mm,Top,0.00
D33,167.4000mm,-32.0000mm,Top,0.00
D34,104.5000mm,-18.0000mm,Top,0.00
F2,66.0000mm,-52.0000mm,Top,0.00
F3,96.0000mm,-20.0000mm,Top,0.00
L1,58.0000mm,-52.0000mm,Top,0.00
Q1,39.0000mm,-35.0000mm,Top,0.00
Q2,13.0000mm,-79.5000mm,Top,180.00
Q3,49.0000mm,-79.5000mm,Top,180.00
Q4,85.0000mm,-79.5000mm,Top,180.00
Q5,121.0000mm,-79.5000mm,Top,180.00
Q6,157.0000mm,-79.5000mm,Top,180.00
R1,10.0000mm,-55.0000mm,Top,0.00
R2,18.0000mm,-55.0000mm,Top,0.00
R3,26.0000mm,-55.0000mm,Top,0.00
R8,80.0000mm,-56.5000mm,Top,0.00
R9,96.0000mm,-41.0000mm,Top,0.00
R10,112.0000mm,-36.0000mm,Top,0.00
R11,112.0000mm,-42.0000mm,Top,0.00
R12,116.0000mm,-47.0000mm,Top,0.00
R16,107.0000mm,-22.0000mm,Top,0.00
R17,107.0000mm,-27.0000mm,Top,0.00
R18,117.5000mm,-22.0000mm,Top,0.00
R19,117.5000mm,-27.0000mm,Top,0.00
R20,122.8000mm,-20.0000mm,Top,0.00
R21,127.8000mm,-24.0000mm,Top,0.00
R22,136.0000mm,-20.0000mm,Top,0.00
R23,141.0000mm,-24.0000mm,Top,0.00
R24,149.2000mm,-20.0000mm,Top,0.00
R25,154.2000mm,-24.0000mm,Top,0.00
R26,162.4000mm,-20.0000mm,Top,0.00
R27,167.4000mm,-24.0000mm,Top,0.00
R40,6.0000mm,-76.0000mm,Top,0.00
R41,42.0000mm,-76.0000mm,Top,0.00
R42,78.0000mm,-76.0000mm,Top,0.00
R43,114.0000mm,-76.0000mm,Top,0.00
R44,150.0000mm,-76.0000mm,Top,0.00
R50,6.0000mm,-79.5000mm,Top,0.00
R51,42.0000mm,-79.5000mm,Top,0.00
R52,78.0000mm,-79.5000mm,Top,0.00
R53,114.0000mm,-79.5000mm,Top,0.00
R54,150.0000mm,-79.5000mm,Top,0.00
R55,6.0000mm,-83.0000mm,Top,0.00
R56,42.0000mm,-83.0000mm,Top,0.00
R57,78.0000mm,-83.0000mm,Top,0.00
R58,114.0000mm,-83.0000mm,Top,0.00
R59,150.0000mm,-83.0000mm,Top,0.00
U3,103.0000mm,-39.0000mm,Top,0.00
U4,46.0000mm,-52.0000mm,Top,0.00
U5,94.0000mm,-59.0000mm,Top,90.00
U6,106.0000mm,-59.0000mm,Top,90.00
U7,119.0000mm,-59.0000mm,Top,0.00
U8,130.0000mm,-59.0000mm,Top,0.00
U9,141.0000mm,-59.0000mm,Top,0.00
U11,151.0000mm,-48.0000mm,Top,0.00
U12,114.0000mm,-33.0000mm,Top,0.00
U13,20.0000mm,-46.0000mm,Top,0.00
