Ref,Val,Package,PosX,PosY,Rot,Side
"C2","22u 10V X7R","C_1206_3216Metric",68.000000,-60.000000,0.000000,top
"C3","100n 50V X7R","C_0603_1608Metric",26.000000,-61.000000,0.000000,top
"C5","100n 50V X7R","C_0603_1608Metric",96.000000,-35.000000,0.000000,top
"C6","2.2u 16V X7R","C_0805_2012Metric",12.000000,-46.000000,0.000000,top
"C7","100n 50V X7R","C_0603_1608Metric",51.000000,-45.500000,0.000000,top
"C8","10u 50V X7R","C_1206_3216Metric",38.000000,-60.000000,0.000000,top
"C9","22u 10V X7R","C_1206_3216Metric",50.000000,-60.000000,0.000000,top
"C10","22u 10V X7R","C_1206_3216Metric",61.000000,-60.000000,0.000000,top
"C12","100n 50V X7R","C_0603_1608Metric",107.000000,-31.000000,0.000000,top
"C13","100p 50V C0G","C_0603_1608Metric",28.000000,-45.000000,0.000000,top
"C20","100n 50V X7R","C_0603_1608Metric",122.800000,-28.000000,0.000000,top
"C21","100n 50V X7R","C_0603_1608Metric",136.000000,-28.000000,0.000000,top
"C22","100n 50V X7R","C_0603_1608Metric",149.200000,-28.000000,0.000000,top
"C23","100n 50V X7R","C_0603_1608Metric",162.400000,-28.000000,0.000000,top
"C24","100n 50V X7R","C_0603_1608Metric",158.000000,-48.000000,0.000000,top
"C30","100n 50V X7R","C_0603_1608Metric",94.000000,-53.500000,0.000000,top
"C31","100n 50V X7R","C_0603_1608Metric",106.000000,-53.500000,0.000000,top
"C32","100n 50V X7R","C_0603_1608Metric",116.500000,-53.500000,0.000000,top
"C33","100n 50V X7R","C_0603_1608Metric",127.500000,-53.500000,0.000000,top
"C34","100n 50V X7R","C_0603_1608Metric",138.500000,-53.500000,0.000000,top
"C35","2.2u 16V X7R","C_0805_2012Metric",121.500000,-53.500000,0.000000,top
"C36","2.2u 16V X7R","C_0805_2012Metric",132.500000,-53.500000,0.000000,top
"C37","2.2u 16V X7R","C_0805_2012Metric",143.500000,-53.500000,0.000000,top
"D1","SMBJ18A","D_SMB",52.000000,-36.000000,0.000000,top
"D2","CDSOT23-SM712","SOT-23",120.000000,-39.000000,0.000000,top
"D3","BAT54S,215 ADC CLAMP","SOT-23",33.000000,-57.000000,0.000000,top
"D10","STPS30SM60SG-TR 60V/30A","TO-263-2_TabPin1",27.000000,-78.500000,0.000000,top
"D11","STPS30SM60SG-TR 60V/30A","TO-263-2_TabPin1",63.000000,-78.500000,0.000000,top
"D12","STPS30SM60SG-TR 60V/30A","TO-263-2_TabPin1",99.000000,-78.500000,0.000000,top
"D13","STPS30SM60SG-TR 60V/30A","TO-263-2_TabPin1",135.000000,-78.500000,0.000000,top
